symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,cluster
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,150.0,97.9,54207932.0,1200000020386743.0,2023-05-04 15:16:26,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,10.524727476119777,99.9003639495512,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,11.273380812626318,97.72491529541593,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,146.91671679571755,58.75876861718417,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,150.0,97.9,54207932.0,1200000020386743.0,2023-05-04 15:16:26,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,151.18326709492783,57.954945995598976,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,11.0,97.9,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,142.03757120306102,98.52466072142371,54207932.0,1200000020386743.0,2023-05-04 15:16:26,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,150.0,97.9,54207932.0,1200000020386743.0,2023-05-04 15:16:26,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,11.0,97.9,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,11.0,97.9,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,11.0,97.9,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,11.0,97.9,54260050.0,1200000020518990.0,2023-05-04 15:18:42,0
NAVKARCORP,INE278M01019,2023-05-04,BSE,EQ,B,buy,False,150.0,58.6,300364800.0,1.6831710000541115e+18,2023-05-04 15:17:25,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,145.76491540612895,98.25657721333278,54207932.0,1200000020386743.0,2023-05-04 15:16:26,0
KARURVYSYA,INE036D01028,2023-05-04,NSE,EQ,EQ,buy,False,141.21958844291376,96.52990639665312,54207932.0,1200000020386743.0,2023-05-04 15:16:26,0
